customer_key;customer_id;Full_name;age;age_group;life_spand;nbr_order;total_sales;total_quantity;nbr_product;segment;recency;avg_order_value;avg_monthly_spend
1;11000;Jon Yang;55;50 and Above;28;3;8249;8;8;VIP;160;1031;294
2;11001;Eugene Huang;50;50 and Above;35;3;6384;11;10;VIP;153;580;182
3;11002;Ruben Torres;55;50 and Above;25;3;8114;4;4;VIP;163;2028;324
4;11003;Christy Zhu;53;50 and Above;29;3;8139;9;9;VIP;160;904;280
5;11004;Elizabeth Johnson;47;40-49;28;3;8196;6;6;VIP;160;1366;292
6;11005;Julio Ruiz;50;50 and Above;29;3;8121;6;6;VIP;160;1353;280
7;11006;Janet Alvarez;50;50 and Above;28;3;8119;5;5;VIP;160;1623;289
8;11007;Marco Mehta;57;50 and Above;26;3;8211;8;8;VIP;162;1026;315
9;11008;Rob Verhoff;51;50 and Above;26;3;8106;7;7;VIP;162;1158;311
10;11009;Shannon Carlson;57;50 and Above;28;3;8091;5;5;VIP;160;1618;288
11;11010;Jacquelyn Suarez;57;50 and Above;28;3;8088;4;4;VIP;160;2022;288
12;11011;Curtis Lu;57;50 and Above;27;3;8133;4;4;VIP;162;2033;301
13;11012;Lauren Walker;47;40-49;7;2;81;5;5;Regular;155;16;11
14;11013;Ian Jenkins;47;40-49;9;2;114;5;5;Regular;152;22;12
15;11014;Sydney Bennett;53;50 and Above;1;2;138;6;5;Regular;161;23;138
16;11015;Chloe Young;42;40-49;0;1;2501;3;3;Regular;164;833;0
17;11016;Wyatt Hill;42;40-49;0;1;2332;3;3;Regular;163;777;0
18;11017;Shannon Wang;77;50 and Above;33;3;6434;4;4;VIP;155;1608;194
19;11018;Clarence Rai;71;50 and Above;33;3;6533;7;7;VIP;155;933;197
20;11019;Luke Lal;43;40-49;11;17;880;33;20;Regular;152;26;80
21;11020;Jordan King;42;40-49;0;1;2317;2;2;Regular;165;1158;0
22;11021;Destiny Wilson;42;40-49;0;1;2372;3;3;Regular;164;790;0
23;11022;Ethan Zhang;42;40-49;0;1;2322;2;2;Regular;164;1161;0
24;11023;Seth Edwards;42;40-49;11;2;122;6;6;Regular;152;20;11
25;11024;Russell Xie;42;40-49;1;2;56;6;5;Regular;158;9;56
26;11025;Alejandro Beck;75;50 and Above;33;3;6577;6;6;VIP;155;1096;199
27;11026;Harold Sai;75;50 and Above;33;3;6575;7;7;VIP;155;939;199
28;11027;Jessie Zhao;74;50 and Above;33;3;6591;9;9;VIP;155;732;199
29;11028;Jill Jimenez;75;50 and Above;33;3;6474;5;5;VIP;155;1294;196
30;11029;Jimmy Moreno;74;50 and Above;34;3;6565;7;7;VIP;154;937;193
31;11030;Bethany Yuan;68;50 and Above;33;3;6471;4;4;VIP;154;1617;196
32;11031;Theresa Ramos;73;50 and Above;33;3;6478;6;6;VIP;154;1079;196
33;11032;Denise Stone;74;50 and Above;33;3;6525;10;10;VIP;154;652;197
34;11033;Jaime Nath;68;50 and Above;33;3;6495;7;7;VIP;154;927;196
35;11034;Ebony Gonzalez;74;50 and Above;33;3;6491;4;4;VIP;154;1622;196
36;11035;Wendy Dominguez;73;50 and Above;33;3;6451;5;5;VIP;154;1290;195
37;11036;Jennifer Russell;42;40-49;0;1;2355;2;2;Regular;164;1177;0
38;11037;Chloe Garcia;43;40-49;0;1;2374;7;7;Regular;164;339;0
39;11038;Diana Hernandez;73;50 and Above;33;3;6437;3;3;VIP;154;2145;195
40;11039;Marc Martin;72;50 and Above;33;3;6636;9;8;VIP;154;737;201
41;11040;Jesse Murphy;43;40-49;0;1;2351;3;3;Regular;161;783;0
42;11041;Amanda Carter;43;40-49;0;1;2381;3;3;Regular;164;793;0
43;11042;Megan Sanchez;44;40-49;9;2;3112;3;3;Regular;155;1037;345
44;11043;Nathan Simmons;45;40-49;3;2;48;3;3;Regular;157;16;16
45;11044;Adam Flores;72;50 and Above;33;3;6515;7;7;VIP;154;930;197
46;11045;Leonard Nara;71;50 and Above;6;2;115;4;4;Regular;155;28;19
47;11046;Christine Yuan;71;50 and Above;33;3;6616;6;6;VIP;154;1102;200
48;11047;Jaclyn Lu;71;50 and Above;33;3;6582;4;4;VIP;154;1645;199
49;11048;Jeremy Powell;70;50 and Above;34;3;6498;8;8;VIP;153;812;191
50;11049;Carol Rai;40;40-49;7;2;81;5;5;Regular;155;16;11
51;11050;Alan Zheng;69;50 and Above;33;3;5007;6;6;VIP;154;834;151
52;11051;Daniel Johnson;69;50 and Above;1;2;124;5;5;Regular;152;24;124
53;11052;Heidi Lopez;69;50 and Above;27;3;8131;7;7;VIP;160;1161;301
54;11053;Ana Price;40;40-49;0;1;2330;2;2;Regular;164;1165;0
55;11054;Deanna Munoz;69;50 and Above;27;3;8223;6;6;VIP;160;1370;304
56;11055;Gilbert Raje;69;50 and Above;29;3;8168;8;8;VIP;159;1021;281
57;11056;Michele Nath;68;50 and Above;27;3;8207;8;8;VIP;160;1025;303
58;11057;Carl Andersen;56;50 and Above;27;3;8088;4;4;VIP;160;2022;299
59;11058;Marc Diaz;61;50 and Above;27;3;8248;6;6;VIP;159;1374;305
60;11059;Ashlee Andersen;67;50 and Above;1;3;117;7;6;Regular;162;16;117
61;11060;Jon Zhou;67;50 and Above;27;3;8153;6;6;VIP;159;1358;301
62;11061;Todd Gao;50;50 and Above;27;3;8129;6;6;VIP;159;1354;301
63;11062;Noah Powell;45;40-49;0;1;2352;3;3;Regular;164;784;0
64;11063;Angela Murphy;46;40-49;0;1;2373;5;5;Regular;164;474;0
65;11064;Chase Reed;45;40-49;0;1;2305;2;2;Regular;164;1152;0
66;11065;Jessica Henderson;47;40-49;11;2;202;5;4;Regular;152;40;18
67;11066;Grace Butler;47;40-49;4;2;81;5;5;Regular;156;16;20
68;11067;Caleb Carter;44;40-49;5;2;105;6;6;Regular;152;17;21
69;11068;Tiffany Liang;60;50 and Above;6;3;113;9;8;Regular;155;12;18
70;11069;Carolyn Navarro;60;50 and Above;26;3;8104;3;3;VIP;159;2701;311
71;11070;Willie Raji;66;50 and Above;26;3;8165;10;9;VIP;159;816;314
72;11071;Linda Serrano;66;50 and Above;9;3;110;7;6;Regular;153;15;12
73;11072;Casey Luo;66;50 and Above;27;3;8194;7;7;VIP;159;1170;303
74;11073;Amy Ye;64;50 and Above;5;3;192;10;9;Regular;157;19;38
75;11074;Levi Arun;64;50 and Above;2;3;94;7;7;Regular;160;13;47
76;11075;Felicia Jimenez;63;50 and Above;26;3;8068;5;5;VIP;159;1613;310
77;11076;Blake Anderson;63;50 and Above;26;3;8159;4;4;VIP;159;2039;313
78;11077;Leah Ye;63;50 and Above;26;3;8169;5;5;VIP;159;1633;314
79;11078;Gina Martin;41;40-49;11;17;912;31;23;Regular;152;29;82
80;11079;Donald Gonzalez;56;50 and Above;10;3;58;5;5;Regular;152;11;5
81;11080;Damien Chander;61;50 and Above;26;3;8204;7;7;VIP;159;1172;315
